ID,date,time,depth,temperature,salinity
FI2,2015/07/01,NULL,2030.45 ,2.380 ,34.625 
FI2,2015/08/01,NULL,2026.08 ,2.384 ,34.625 
FI2,2015/09/01,NULL,2031.00 ,2.408 ,34.624 
FI2,2015/10/01,NULL,2031.05 ,2.431 ,34.622 
FI2,2015/11/01,NULL,2036.62 ,2.420 ,34.623 
FI2,2015/12/01,NULL,2035.72 ,2.428 ,34.622 
FI2,2016/01/01,NULL,2032.24 ,2.395 ,34.623 
FI2,2016/02/01,NULL,2026.77 ,2.422 ,34.622 
FI2,2016/03/01,NULL,2026.26 ,2.427 ,34.621 
FI2,2016/04/01,NULL,2027.30 ,2.421 ,34.621 
FI2,2016/05/01,NULL,2028.05 ,2.405 ,34.622 
FI2,2016/06/01,NULL,2028.61 ,2.403 ,34.621 
FI2,2016/07/01,NULL,2026.46 ,2.403 ,34.620 
FI2,2015/07/01,NULL,1036.08 ,3.793 ,34.548 
FI2,2015/08/01,NULL,1024.87 ,3.794 ,34.554 
FI2,2015/09/01,NULL,1038.00 ,4.057 ,34.537 
FI2,2015/10/01,NULL,1037.90 ,4.358 ,34.525 
FI2,2015/11/01,NULL,1052.39 ,3.995 ,34.541 
FI2,2015/12/01,NULL,1050.46 ,4.241 ,34.530 
FI2,2016/01/01,NULL,1041.62 ,3.859 ,34.544 
FI2,2016/02/01,NULL,1027.15 ,4.189 ,34.530 
FI2,2016/03/01,NULL,1025.32 ,4.253 ,34.524 
FI2,2016/04/01,NULL,1028.03 ,4.144 ,34.532 
FI2,2016/05/01,NULL,1030.24 ,3.893 ,34.540 
FI2,2016/06/01,NULL,1032.08 ,3.823 ,34.544 
FI2,2016/07/01,NULL,1025.22 ,3.693 ,34.555 
FI2,2015/07/01,NULL,335.28 ,10.166 ,33.667 
FI2,2015/08/01,NULL,316.10 ,10.671 ,33.707 
FI2,2015/09/01,NULL,341.84 ,10.528 ,33.651 
FI2,2015/10/01,NULL,339.77 ,10.969 ,33.721 
FI2,2015/11/01,NULL,370.58 ,10.568 ,33.703 
FI2,2015/12/01,NULL,363.65 ,10.929 ,33.587 
FI2,2016/01/01,NULL,347.84 ,10.954 ,33.707 
FI2,2016/02/01,NULL,321.77 ,10.817 ,33.705 
FI2,2016/03/01,NULL,316.95 ,11.151 ,33.731 
FI2,2016/04/01,NULL,322.07 ,11.316 ,33.691 
FI2,2016/05/01,NULL,328.36 ,10.674 ,33.668 
FI2,2016/06/01,NULL,334.45 ,10.626 ,33.661 
FI2,2016/07/01,NULL,315.24 ,11.184 ,33.679 
FI2,2015/07/01,NULL,2639.57 ,2.301 ,34.616 
FI2,2015/08/01,NULL,2639.15 ,2.305 ,34.616 
FI2,2015/09/01,NULL,2639.99 ,2.324 ,34.615 
FI2,2015/10/01,NULL,2640.01 ,2.335 ,34.614 
FI2,2015/11/01,NULL,2640.91 ,2.331 ,34.614 
FI2,2015/12/01,NULL,2640.75 ,2.330 ,34.614 
FI2,2016/01/01,NULL,2640.23 ,2.317 ,34.614 
FI2,2016/02/01,NULL,2639.41 ,2.331 ,34.614 
FI2,2016/03/01,NULL,2639.38 ,2.329 ,34.613 
FI2,2016/04/01,NULL,2639.53 ,2.326 ,34.613 
FI2,2016/05/01,NULL,2639.63 ,2.328 ,34.613 
FI2,2016/06/01,NULL,2639.72 ,2.329 ,34.612 
FI2,2016/07/01,NULL,2639.57 ,2.328 ,34.612 
FI2,2015/07/01,NULL,238.03 ,12.967 ,34.473 
FI2,2015/08/01,NULL,216.94 ,13.994 ,34.522 
FI2,2015/09/01,NULL,248.68 ,12.825 ,34.478 
FI2,2015/10/01,NULL,245.31 ,13.696 ,34.517 
FI2,2015/11/01,NULL,285.01 ,12.861 ,34.471 
FI2,2015/12/01,NULL,273.36 ,13.423 ,34.502 
FI2,2016/01/01,NULL,253.92 ,13.442 ,34.493 
FI2,2016/02/01,NULL,223.94 ,13.242 ,34.486 
FI2,2016/03/01,NULL,217.81 ,14.080 ,34.510 
FI2,2016/04/01,NULL,223.83 ,14.381 ,34.518 
