ID,date,time,depth,temperature,salinity
15FI3_07075,2015/07/01,NULL,433.11 ,8.945 ,34.420 
15FI3_07075,2015/08/01,NULL,436.43 ,8.620 ,34.383 
15FI3_07075,2015/09/01,NULL,461.43 ,8.289 ,34.391 
15FI3_07075,2015/10/01,NULL,443.07 ,9.135 ,34.414 
15FI3_07075,2015/11/01,NULL,464.48 ,9.157 ,34.407 
15FI3_07075,2015/12/01,NULL,443.32 ,9.316 ,34.411 
15FI3_07075,2016/01/01,NULL,447.67 ,9.165 ,34.411 
15FI3_07075,2016/02/01,NULL,431.08 ,8.923 ,34.410 
15FI3_07075,2016/03/01,NULL,425.66 ,9.432 ,34.425 
15FI3_07075,2016/04/01,NULL,427.51 ,9.643 ,34.419 
15FI3_07075,2016/05/01,NULL,430.71 ,8.867 ,34.357 
15FI3_07075,2016/06/01,NULL,431.01 ,8.423 ,34.351 
15FI3_07075,2016/07/01,NULL,441.67 ,8.604 ,34.362 
15FI3_07075,2016/08/01,NULL,469.14 ,9.232 ,34.411 
15FI3_09720,2015/07/01,NULL,936.80 ,4.772 ,34.496 
15FI3_09720,2015/08/01,NULL,938.41 ,4.343 ,34.496 
15FI3_09720,2015/09/01,NULL,954.87 ,4.358 ,34.501 
15FI3_09720,2015/10/01,NULL,942.96 ,5.008 ,34.485 
15FI3_09720,2015/11/01,NULL,957.16 ,4.683 ,34.484 
15FI3_09720,2015/12/01,NULL,943.45 ,4.832 ,34.478 
15FI3_09720,2016/01/01,NULL,947.00 ,4.593 ,34.491 
15FI3_09720,2016/02/01,NULL,935.06 ,4.618 ,34.490 
15FI3_09720,2016/03/01,NULL,931.65 ,4.919 ,34.478 
15FI3_09720,2016/04/01,NULL,933.16 ,4.816 ,34.481 
15FI3_09720,2016/05/01,NULL,935.00 ,4.354 ,34.495 
15FI3_09720,2016/06/01,NULL,934.60 ,4.384 ,34.493 
15FI3_09720,2016/07/01,NULL,941.75 ,4.458 ,34.489 
15FI3_09720,2016/08/01,NULL,960.45 ,4.775 ,34.477 
15FI3_10410,2015/07/01,NULL,9.99 ,27.811 ,33.797 
15FI3_10410,2015/08/01,NULL,24.23 ,28.159 ,33.815 
15FI3_10410,2015/09/01,NULL,72.23 ,24.024 ,34.116 
15FI3_10410,2015/10/01,NULL,49.91 ,25.463 ,34.179 
15FI3_10410,2015/11/01,NULL,127.93 ,21.588 ,34.605 
15FI3_10410,2015/12/01,NULL,167.67 ,18.144 ,33.657 
15FI3_10410,2016/01/01,NULL,215.89 ,14.808 ,33.573 
15FI3_10410,2016/02/01,NULL,184.00 ,14.658 ,33.521 
15FI3_10410,2016/03/01,NULL,140.60 ,17.343 ,33.749 
15FI3_10410,2016/04/01,NULL,146.36 ,18.199 ,33.898 
15FI3_10410,2016/05/01,NULL,174.17 ,16.952 ,33.879 
15FI3_10410,2016/06/01,NULL,186.61 ,15.315 ,33.790 
15FI3_10410,2016/07/01,NULL,213.16 ,14.756 ,33.757 
15FI3_10410,2016/08/01,NULL,265.79 ,13.716 ,33.712 
15FI3_10415,2015/07/01,NULL,1946.87 ,2.443 ,34.609 
15FI3_10415,2015/08/01,NULL,1947.27 ,2.401 ,34.610 
15FI3_10415,2015/09/01,NULL,1951.96 ,2.416 ,34.609 
15FI3_10415,2015/10/01,NULL,1948.65 ,2.475 ,34.606 
15FI3_10415,2015/11/01,NULL,1952.61 ,2.453 ,34.607 
15FI3_10415,2015/12/01,NULL,1948.81 ,2.458 ,34.606 
15FI3_10415,2016/01/01,NULL,1949.81 ,2.441 ,34.607 
15FI3_10415,2016/02/01,NULL,1946.39 ,2.427 ,34.608 
15FI3_10415,2016/03/01,NULL,1945.44 ,2.461 ,34.606 
15FI3_10415,2016/04/01,NULL,1945.93 ,2.449 ,34.606 
15FI3_10415,2016/05/01,NULL,1946.31 ,2.419 ,34.607 
