ID,date,time,depth,temperature,salinity
16EW3_10418,2016/08/01,NULL,2397.83 ,2.329 ,34.628 
16EW3_10418,2016/09/01,NULL,2397.55 ,2.322 ,34.628 
16EW3_10418,2016/10/01,NULL,2397.79 ,2.326 ,34.628 
16EW3_10418,2016/11/01,NULL,2397.54 ,2.331 ,34.628 
16EW3_10418,2016/12/01,NULL,2397.89 ,2.333 ,34.628 
16EW3_10418,2017/01/01,NULL,2398.80 ,2.342 ,34.627 
16EW3_10418,2017/02/01,NULL,2398.15 ,2.343 ,34.627 
16EW3_10418,2017/03/01,NULL,2397.48 ,2.331 ,34.628 
16EW3_10418,2017/04/01,NULL,2397.36 ,2.335 ,34.627 
16EW3_10418,2017/05/01,NULL,2397.48 ,2.331 ,34.628 
16EW3_10418,2017/06/01,NULL,2397.78 ,2.335 ,34.627 
16EW3_10418,2017/07/01,NULL,2397.47 ,2.337 ,34.627 
16EW3_10462,2016/08/01,NULL,119.66 ,21.915 ,34.827 
16EW3_10462,2016/09/01,NULL,107.40 ,21.587 ,34.760 
16EW3_10462,2016/10/01,NULL,125.05 ,20.354 ,34.746 
16EW3_10462,2016/11/01,NULL,104.98 ,22.730 ,34.843 
16EW3_10462,2016/12/01,NULL,125.96 ,20.427 ,34.750 
16EW3_10462,2017/01/01,NULL,190.97 ,19.409 ,34.812 
16EW3_10462,2017/02/01,NULL,167.55 ,22.983 ,34.808 
16EW3_10462,2017/03/01,NULL,104.56 ,20.612 ,34.681 
16EW3_10462,2017/04/01,NULL,95.97 ,21.123 ,34.738 
16EW3_10462,2017/05/01,NULL,102.44 ,18.472 ,34.707 
16EW3_10462,2017/06/01,NULL,111.25 ,18.378 ,34.694 
16EW3_10462,2017/07/01,NULL,104.68 ,22.424 ,34.734 
16EW3_12210,2016/08/01,NULL,951.33 ,4.922 ,34.490 
16EW3_12210,2016/09/01,NULL,947.04 ,4.423 ,34.511 
16EW3_12210,2016/10/01,NULL,950.54 ,4.528 ,34.511 
16EW3_12210,2016/11/01,NULL,946.60 ,4.797 ,34.500 
16EW3_12210,2016/12/01,NULL,951.42 ,4.689 ,34.504 
16EW3_12210,2017/01/01,NULL,963.69 ,4.803 ,34.497 
16EW3_12210,2017/02/01,NULL,955.25 ,5.074 ,34.489 
16EW3_12210,2017/03/01,NULL,945.86 ,4.438 ,34.515 
16EW3_12210,2017/04/01,NULL,944.10 ,4.673 ,34.504 
16EW3_12210,2017/05/01,NULL,945.76 ,4.466 ,34.515 
16EW3_12210,2017/06/01,NULL,949.91 ,4.727 ,34.507 
16EW3_12210,2017/07/01,NULL,945.50 ,4.962 ,34.500 
